outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
22.0,46.0,0.0,0.0,21.1,22.0,21.0,50.0,50.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
21.1,50.0,0.0,0.0,22.0,21.0,18.2,50.0,56.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,50.0,0.0,0.0,21.0,18.2,17.6,56.0,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,56.0,0.0,0.0,18.2,17.6,17.0,57.0,56.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
18.2,57.0,0.0,0.0,17.6,17.0,16.9,56.0,74.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
17.6,56.0,0.0,0.0,17.0,16.9,16.0,74.0,77.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,74.0,0.0,0.0,16.9,16.0,16.0,77.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
16.9,77.0,0.0,0.0,16.0,16.0,16.2,59.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,59.0,0.0,0.0,16.0,16.2,17.0,59.0,59.0,59.0,0.0,0.0,47.0,0.0,0.0,131.0
16.0,59.0,0.0,0.0,16.2,17.0,19.0,59.0,59.0,60.0,0.0,47.0,86.0,0.0,131.0,301.0
16.2,59.0,0.0,0.0,17.0,19.0,21.1,59.0,60.0,58.0,47.0,86.0,113.0,131.0,301.0,459.0
17.0,59.0,47.0,131.0,19.0,21.1,22.5,60.0,58.0,58.0,86.0,113.0,131.0,301.0,459.0,569.0
19.0,60.0,86.0,301.0,21.1,22.5,24.0,58.0,58.0,57.0,113.0,131.0,151.0,459.0,569.0,610.0
21.1,58.0,113.0,459.0,22.5,24.0,24.2,58.0,57.0,59.0,131.0,151.0,161.0,569.0,610.0,600.0
22.5,58.0,131.0,569.0,24.0,24.2,24.0,57.0,59.0,57.0,151.0,161.0,138.0,610.0,600.0,548.0
24.0,57.0,151.0,610.0,24.2,24.0,25.0,59.0,57.0,57.0,161.0,138.0,108.0,600.0,548.0,427.0
24.2,59.0,161.0,600.0,24.0,25.0,24.2,57.0,57.0,58.0,138.0,108.0,80.0,548.0,427.0,259.0
24.0,57.0,138.0,548.0,25.0,24.2,24.0,57.0,58.0,65.0,108.0,80.0,38.0,427.0,259.0,98.0
25.0,57.0,108.0,427.0,24.2,24.0,23.0,58.0,65.0,73.0,80.0,38.0,6.0,259.0,98.0,11.0
24.2,58.0,80.0,259.0,24.0,23.0,23.0,65.0,73.0,72.0,38.0,6.0,0.0,98.0,11.0,0.0
24.0,65.0,38.0,98.0,23.0,23.0,23.0,73.0,72.0,69.0,6.0,0.0,0.0,11.0,0.0,0.0
23.0,73.0,6.0,11.0,23.0,23.0,23.0,72.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
