algorithm,reward_mode,cost_total_pct_vs_neutral_mean,cost_total_pct_vs_neutral_std,carbon_emissions_total_pct_vs_neutral_mean,carbon_emissions_total_pct_vs_neutral_std,discomfort_proportion_pct_vs_neutral_mean,discomfort_proportion_pct_vs_neutral_std,ramping_average_pct_vs_neutral_mean,ramping_average_pct_vs_neutral_std,daily_one_minus_load_factor_average_pct_vs_neutral_mean,daily_one_minus_load_factor_average_pct_vs_neutral_std
ippo,flat_shared,14.536666666666667,5.593946132501933,13.733333333333334,3.839327198004012,-1.5033333333333332,1.3687342084324967,10.273333333333333,3.1605273821521203,-2.26,0.18734993995195223
ippo,local_individual,4.833333333333333,1.984296684806315,5.886666666666667,1.688352253924913,-0.15,0.026457513110645897,-0.2299999999999999,2.02741214359587,-3.016666666666667,0.6603282012252188
ippo,uae_weighted,12.583333333333334,5.4927436981287725,11.626666666666665,3.4550012059814588,-0.7766666666666667,0.7318697516179592,10.6,3.4295918124464904,-2.6333333333333333,0.2600640946638603
mappo,flat_shared,12.836666666666666,0.8208126054912489,12.49,1.1575404960518654,-1.02,0.07211102550927985,10.13,0.9175510884958946,-3.9133333333333336,0.5859465277082315
mappo,local_individual,7.753333333333334,0.8971807695962574,7.876666666666666,1.008579859670682,-0.20666666666666667,0.13576941236277532,2.32,1.8903174336602833,-3.8800000000000003,1.2050311199301034
mappo,uae_weighted,8.413333333333334,1.252850084141488,8.24,1.821976948262519,-0.41,0.1322875655532296,6.896666666666667,1.0756548393110745,-3.9166666666666665,1.0535811944664413
