algorithm,reward_mode,reward_mean,reward_std,reward_min,reward_max,mean_pm_std
neutral,neutral,-266.3392806280608,0.0,-266.3392806280608,-266.3392806280608,-266.34 ± 0.0
ippo,local_individual,-267.78707314756093,2.3301188345050474,-270.02136819413255,-265.3716968245005,-267.79 ± 2.33
mappo,local_individual,-279.5746684961359,2.0461158384927627,-281.0217806389532,-277.23371023012197,-279.57 ± 2.05
mappo,uae_weighted,-285.3012922051621,4.036886258173845,-288.8272369828769,-280.89782067223894,-285.3 ± 4.04
mappo,flat_shared,-293.7767731807781,1.0648828675635769,-294.5700843406315,-292.56650308870854,-293.78 ± 1.06
ippo,uae_weighted,-296.62140760186594,4.199485221738201,-300.63626283958394,-292.25890478405387,-296.62 ± 4.2
ippo,flat_shared,-297.3640767673645,8.699784017788744,-306.51365180284256,-289.1976044835596,-297.36 ± 8.7
