,,mean,mean,mean,mean,mean,std,std,std,std,std
cost_function,,carbon_emissions_total,cost_total,daily_one_minus_load_factor_average,discomfort_proportion,ramping_average,carbon_emissions_total,cost_total,daily_one_minus_load_factor_average,discomfort_proportion,ramping_average
algorithm,reward_mode,,,,,,,,,,
ippo,flat_shared,0.489005544663992,0.4608704833341802,1.3412229883912985,0.9580633285020266,0.963079233138486,0.016508336576490375,0.022518683273587834,0.0025240696482088354,0.01334229558250334,0.02757651033126245
ippo,local_individual,0.4552729905949275,0.42182404518657785,1.3307836496887597,0.9712511603729825,0.8713519997597978,0.007259218701242499,0.007982029240076937,0.009050825708997505,0.00024314778700138752,0.017715157772320463
ippo,uae_weighted,0.47996018865452433,0.4530041076794506,1.336035533754565,0.9651091171585425,0.9659448108938893,0.014865001132772173,0.022091242918372545,0.00359400219893698,0.00712273841195325,0.029976771515634038
mappo,flat_shared,0.4836600169850153,0.4540327268419147,1.318548581799657,0.9627732015774684,0.9618253930961357,0.004968175159630996,0.003297937703062966,0.008015851529406844,0.0007117963091448698,0.007977127963407306
mappo,local_individual,0.4638201648153167,0.4335870540854693,1.318955966597837,0.9706749069158273,0.8936101332419564,0.004339545263224733,0.0036149086594129466,0.01653534798006198,0.0013383466344390046,0.016522971610992372
mappo,uae_weighted,0.46537947390633216,0.4362254471171155,1.318473024490142,0.9687023768071992,0.9335942158346922,0.00784030514619274,0.005045048451407401,0.014507536543088853,0.0012729315904664571,0.009382188558857014
neutral,neutral,0.4299633736401609,0.4023768902771487,1.3722099163779269,0.9726936035193958,0.8733576745412791,0.0,0.0,0.0,0.0,0.0
