outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
31.0,46.0,0.0,0.0,31.0,31.0,31.0,46.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,31.0,31.0,30.5,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,43.0,0.0,0.0,31.0,30.5,31.0,43.0,43.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,43.0,0.0,0.0,30.5,31.0,31.0,43.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
30.5,43.0,0.0,0.0,31.0,31.0,29.0,40.0,43.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,40.0,0.0,0.0,31.0,29.0,28.0,43.0,47.0,51.0,0.0,0.0,37.0,0.0,0.0,68.0
31.0,43.0,0.0,0.0,29.0,28.0,29.0,47.0,51.0,48.0,0.0,37.0,88.0,0.0,68.0,229.0
29.0,47.0,0.0,0.0,28.0,29.0,31.2,51.0,48.0,48.0,37.0,88.0,125.0,68.0,229.0,438.0
28.0,51.0,37.0,68.0,29.0,31.2,32.0,48.0,48.0,43.0,88.0,125.0,150.0,229.0,438.0,640.0
29.0,48.0,88.0,229.0,31.2,32.0,33.0,48.0,43.0,41.0,125.0,150.0,167.0,438.0,640.0,806.0
31.2,48.0,125.0,438.0,32.0,33.0,32.9,43.0,41.0,43.0,150.0,167.0,178.0,640.0,806.0,919.0
32.0,43.0,150.0,640.0,33.0,32.9,34.0,41.0,43.0,36.0,167.0,178.0,182.0,806.0,919.0,970.0
33.0,41.0,167.0,806.0,32.9,34.0,34.0,43.0,36.0,39.0,178.0,182.0,181.0,919.0,970.0,955.0
32.9,43.0,178.0,919.0,34.0,34.0,33.9,36.0,39.0,39.0,182.0,181.0,174.0,970.0,955.0,873.0
34.0,36.0,182.0,970.0,34.0,33.9,34.0,39.0,39.0,41.0,181.0,174.0,160.0,955.0,873.0,733.0
34.0,39.0,181.0,955.0,33.9,34.0,34.0,39.0,41.0,34.0,174.0,160.0,139.0,873.0,733.0,549.0
33.9,39.0,174.0,873.0,34.0,34.0,33.9,41.0,34.0,40.0,160.0,139.0,110.0,733.0,549.0,340.0
34.0,41.0,160.0,733.0,34.0,33.9,34.0,34.0,40.0,39.0,139.0,110.0,64.0,549.0,340.0,145.0
34.0,34.0,139.0,549.0,33.9,34.0,34.0,40.0,39.0,39.0,110.0,64.0,18.0,340.0,145.0,28.0
33.9,40.0,110.0,340.0,34.0,34.0,33.1,39.0,39.0,41.0,64.0,18.0,0.0,145.0,28.0,0.0
34.0,39.0,64.0,145.0,34.0,33.1,33.0,39.0,41.0,41.0,18.0,0.0,0.0,28.0,0.0,0.0
34.0,39.0,18.0,28.0,33.1,33.0,33.0,41.0,41.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
33.1,41.0,0.0,0.0,33.0,33.0,32.0,41.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,41.0,0.0,0.0,33.0,32.0,32.0,55.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,55.0,0.0,0.0,32.0,32.0,32.0,46.0,46.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,46.0,0.0,0.0,32.0,32.0,31.0,46.0,58.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,46.0,0.0,0.0,32.0,31.0,30.0,58.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,58.0,0.0,0.0,31.0,30.0,28.0,46.0,49.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,30.0,28.0,27.7,49.0,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,49.0,0.0,0.0,28.0,27.7,27.0,58.0,57.0,54.0,0.0,0.0,37.0,0.0,0.0,67.0
28.0,58.0,0.0,0.0,27.7,27.0,27.0,57.0,54.0,51.0,0.0,37.0,88.0,0.0,67.0,226.0
27.7,57.0,0.0,0.0,27.0,27.0,27.2,54.0,51.0,51.0,37.0,88.0,125.0,67.0,226.0,434.0
27.0,54.0,37.0,67.0,27.0,27.2,30.0,51.0,51.0,46.0,88.0,125.0,151.0,226.0,434.0,636.0
27.0,51.0,88.0,226.0,27.2,30.0,31.0,51.0,46.0,43.0,125.0,151.0,168.0,434.0,636.0,802.0
27.2,51.0,125.0,434.0,30.0,31.0,32.7,46.0,43.0,42.0,151.0,168.0,179.0,636.0,802.0,916.0
30.0,46.0,151.0,636.0,31.0,32.7,35.0,43.0,42.0,34.0,168.0,179.0,183.0,802.0,916.0,969.0
31.0,43.0,168.0,802.0,32.7,35.0,35.0,42.0,34.0,44.0,179.0,183.0,182.0,916.0,969.0,954.0
32.7,42.0,179.0,916.0,35.0,35.0,35.0,34.0,44.0,44.0,183.0,182.0,174.0,969.0,954.0,874.0
35.0,34.0,183.0,969.0,35.0,35.0,36.0,44.0,44.0,31.0,182.0,174.0,161.0,954.0,874.0,734.0
35.0,44.0,182.0,954.0,35.0,36.0,37.0,44.0,31.0,42.0,174.0,161.0,140.0,874.0,734.0,550.0
35.0,44.0,174.0,874.0,36.0,37.0,34.8,31.0,42.0,49.0,161.0,140.0,111.0,734.0,550.0,341.0
