outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
25.0,57.0,0.0,0.0,25.6,26.0,25.0,56.0,54.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
25.6,56.0,0.0,0.0,26.0,25.0,23.1,54.0,57.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,54.0,0.0,0.0,25.0,23.1,22.0,57.0,66.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,57.0,0.0,0.0,23.1,22.0,23.0,66.0,69.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
23.1,66.0,0.0,0.0,22.0,23.0,24.7,69.0,65.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,69.0,0.0,0.0,23.0,24.7,25.0,65.0,60.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,65.0,0.0,0.0,24.7,25.0,25.0,60.0,57.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
24.7,60.0,0.0,0.0,25.0,25.0,25.3,57.0,61.0,59.0,0.0,0.0,53.0,0.0,0.0,139.0
25.0,57.0,0.0,0.0,25.0,25.3,26.0,61.0,59.0,58.0,0.0,53.0,98.0,0.0,139.0,355.0
25.0,61.0,0.0,0.0,25.3,26.0,26.9,59.0,58.0,53.0,53.0,98.0,125.0,139.0,355.0,581.0
25.3,59.0,53.0,139.0,26.0,26.9,27.7,58.0,53.0,50.0,98.0,125.0,142.0,355.0,581.0,770.0
26.0,58.0,98.0,355.0,26.9,27.7,28.0,53.0,50.0,48.0,125.0,142.0,152.0,581.0,770.0,903.0
26.9,53.0,125.0,581.0,27.7,28.0,29.0,50.0,48.0,45.0,142.0,152.0,157.0,770.0,903.0,968.0
27.7,50.0,142.0,770.0,28.0,29.0,28.7,48.0,45.0,47.0,152.0,157.0,156.0,903.0,968.0,958.0
28.0,48.0,152.0,903.0,29.0,28.7,29.0,45.0,47.0,45.0,157.0,156.0,150.0,968.0,958.0,874.0
