outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
33.0,63.0,0.0,0.0,32.1,32.0,32.0,75.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
32.1,75.0,0.0,0.0,32.0,32.0,31.7,71.0,71.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,32.0,31.7,31.0,71.0,74.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,31.7,31.0,31.0,74.0,79.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
31.7,74.0,0.0,0.0,31.0,31.0,30.3,79.0,75.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,79.0,0.0,0.0,31.0,30.3,29.0,75.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,75.0,0.0,0.0,30.3,29.0,29.0,77.0,79.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
30.3,77.0,0.0,0.0,29.0,29.0,29.2,79.0,84.0,83.0,0.0,0.0,50.0,0.0,0.0,117.0
29.0,79.0,0.0,0.0,29.0,29.2,30.0,84.0,83.0,84.0,0.0,50.0,99.0,0.0,117.0,309.0
29.0,84.0,0.0,0.0,29.2,30.0,32.0,83.0,84.0,71.0,50.0,99.0,129.0,117.0,309.0,515.0
29.2,83.0,50.0,117.0,30.0,32.0,34.7,84.0,71.0,45.0,99.0,129.0,145.0,309.0,515.0,688.0
30.0,84.0,99.0,309.0,32.0,34.7,38.0,71.0,45.0,37.0,129.0,145.0,154.0,515.0,688.0,805.0
32.0,71.0,129.0,515.0,34.7,38.0,39.0,45.0,37.0,23.0,145.0,154.0,158.0,688.0,805.0,853.0
34.7,45.0,145.0,688.0,38.0,39.0,39.4,37.0,23.0,20.0,154.0,158.0,155.0,805.0,853.0,827.0
38.0,37.0,154.0,805.0,39.0,39.4,39.0,23.0,20.0,22.0,158.0,155.0,146.0,853.0,827.0,729.0
39.0,23.0,158.0,853.0,39.4,39.0,38.0,20.0,22.0,26.0,155.0,146.0,130.0,827.0,729.0,570.0
39.4,20.0,155.0,827.0,39.0,38.0,36.8,22.0,26.0,31.0,146.0,130.0,105.0,729.0,570.0,369.0
