condition,us_cost,us_discomfort,uae_cost,uae_discomfort,cost_shift,discomfort_shift,euclidean_shift
ippo|flat_shared,0.4866475378802049,0.9432754169875556,0.3948149266137375,0.9933285290236488,-0.09183261126646736,0.050053112036093195,0.10458748738025886
ippo|local_individual,0.4160994123371002,0.9709709083211135,0.3466273824644456,0.9942476466707074,-0.0694720298726546,0.023276738349593873,0.07326779294357424
ippo|uae_weighted,0.4784894034570908,0.9570931589422864,0.3921836398765178,0.9928870389697728,-0.08630576358057301,0.0357938800274864,0.09343386256945527
mappo|flat_shared,0.4557848155908766,0.9635651145808384,0.4548933330968641,0.986284704440524,-0.0008914824940124966,0.022719589859685585,0.022737073347936818
mappo|local_individual,0.4310279260498694,0.9719204390588532,0.4051037637155444,0.9884092960047708,-0.025924162334324985,0.016488856945917618,0.030723681356884462
mappo|uae_weighted,0.4304124011865327,0.9696838457787718,0.4085643973729277,0.9936863066697124,-0.021848003813604966,0.024002460890940602,0.03245694685980846
