KPI,mean_degradation_pct,std_degradation_pct
discomfort_proportion,2.998333333333333,1.31253063456312
daily_one_minus_load_factor_average,1.7133333333333336,3.7759749292953027
carbon_emissions_total,-10.683333333333332,7.644539663489665
ramping_average,-10.723333333333334,3.454647111741902
cost_total,-10.816666666666668,8.00466530634896
