outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
36.0,64.0,0.0,0.0,35.3,35.0,34.0,54.0,60.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
35.3,54.0,0.0,0.0,35.0,34.0,33.9,60.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,60.0,0.0,0.0,34.0,33.9,33.0,63.0,60.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,63.0,0.0,0.0,33.9,33.0,33.0,60.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
33.9,60.0,0.0,0.0,33.0,33.0,32.8,63.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,63.0,0.0,0.0,33.0,32.8,33.0,63.0,60.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,63.0,0.0,0.0,32.8,33.0,33.0,60.0,56.0,53.0,0.0,0.0,33.0,0.0,0.0,54.0
32.8,60.0,0.0,0.0,33.0,33.0,32.8,56.0,53.0,52.0,0.0,33.0,86.0,0.0,54.0,195.0
33.0,56.0,0.0,0.0,33.0,32.8,34.0,53.0,52.0,56.0,33.0,86.0,129.0,54.0,195.0,391.0
33.0,53.0,33.0,54.0,32.8,34.0,37.0,52.0,56.0,45.0,86.0,129.0,158.0,195.0,391.0,586.0
32.8,52.0,86.0,195.0,34.0,37.0,39.8,56.0,45.0,40.0,129.0,158.0,178.0,391.0,586.0,755.0
34.0,56.0,129.0,391.0,37.0,39.8,42.0,45.0,40.0,38.0,158.0,178.0,191.0,586.0,755.0,875.0
