algorithm,reward_mode,steps,mean_agent_reward,Building_1,Building_2,Building_3,Building_4,Building_5,Building_6
neutral,neutral,2207,-1425.1795760619655,-1425.1795760619655,-1425.1795760619655,-1425.1795760619655,-1425.1795760619655,-1425.1795760619655,-1425.1795760619655
ippo,flat_shared,2207,-1550.1388562666814,-1550.1388562666812,-1550.1388562666812,-1550.1388562666812,-1550.1388562666812,-1550.1388562666812,-1550.1388562666812
ippo,local_individual,2207,-263.932024778192,-294.7806694974746,-160.4381266922509,-323.061831940462,-358.06392346818507,-218.5304953054394,-228.71710176533992
ippo,uae_weighted,2207,-1480.7014903922839,-1480.7014903922839,-1480.7014903922839,-1480.7014903922839,-1480.7014903922839,-1480.7014903922839,-1480.7014903922839
mappo,flat_shared,2207,-1706.0112291107725,-1706.0112291107725,-1706.0112291107725,-1706.0112291107725,-1706.0112291107725,-1706.0112291107725,-1706.0112291107725
mappo,local_individual,2207,-311.3875104996168,-298.7132782631176,-190.82156439691897,-523.7131109691511,-377.08517087397655,-244.26228995731591,-233.72964853722056
mappo,uae_weighted,2207,-1529.6714725014554,-1529.6714725014554,-1529.6714725014554,-1529.6714725014554,-1529.6714725014554,-1529.6714725014554,-1529.6714725014554
